,City,State,City_State
0,Abanda,Alabama,Abanda Alabama
1,Gainesville,Alabama,Gainesville Alabama
2,Oak Grove,Alabama,Oak Grove Alabama
3,Abbeville,Alabama,Abbeville Alabama
4,Gallant,Alabama,Gallant Alabama
5,Oak Hill,Alabama,Oak Hill Alabama
6,Adamsville,Alabama,Adamsville Alabama
7,Gantt,Alabama,Gantt Alabama
8,Oakman,Alabama,Oakman Alabama
9,Addison,Alabama,Addison Alabama
10,Garden City,Alabama,Garden City Alabama
11,Odenville,Alabama,Odenville Alabama
12,Akron,Alabama,Akron Alabama
13,Gardendale,Alabama,Gardendale Alabama
14,Ohatchee,Alabama,Ohatchee Alabama
15,Alabaster,Alabama,Alabaster Alabama
16,Gaylesville,Alabama,Gaylesville Alabama
17,Oneonta,Alabama,Oneonta Alabama
18,Albertville,Alabama,Albertville Alabama
19,Geiger,Alabama,Geiger Alabama
20,Onycha,Alabama,Onycha Alabama
21,Alexander City,Alabama,Alexander City Alabama
22,Geneva,Alabama,Geneva Alabama
23,Opelika,Alabama,Opelika Alabama
24,Alexandria,Alabama,Alexandria Alabama
25,Georgiana,Alabama,Georgiana Alabama
26,Opp,Alabama,Opp Alabama
27,Aliceville,Alabama,Aliceville Alabama
28,Geraldine,Alabama,Geraldine Alabama
29,Orange Beach,Alabama,Orange Beach Alabama
30,Allgood,Alabama,Allgood Alabama
31,Gilbertown,Alabama,Gilbertown Alabama
32,Orrville,Alabama,Orrville Alabama
33,Altoona,Alabama,Altoona Alabama
34,Glen Allen,Alabama,Glen Allen Alabama
35,Our Town,Alabama,Our Town Alabama
36,Andalusia,Alabama,Andalusia Alabama
37,Glencoe,Alabama,Glencoe Alabama
38,Owens Cross Roads,Alabama,Owens Cross Roads Alabama
39,Anderson,Alabama,Anderson Alabama
40,Glenwood,Alabama,Glenwood Alabama
41,Oxford,Alabama,Oxford Alabama
42,Anniston,Alabama,Anniston Alabama
43,Goldville,Alabama,Goldville Alabama
44,Ozark,Alabama,Ozark Alabama
45,Arab,Alabama,Arab Alabama
46,Good Hope,Alabama,Good Hope Alabama
47,Paint Rock,Alabama,Paint Rock Alabama
48,Ardmore,Alabama,Ardmore Alabama
49,Goodwater,Alabama,Goodwater Alabama
50,Panola,Alabama,Panola Alabama
51,Argo,Alabama,Argo Alabama
52,Gordo,Alabama,Gordo Alabama
53,Parrish,Alabama,Parrish Alabama
54,Ariton,Alabama,Ariton Alabama
55,Gordon,Alabama,Gordon Alabama
56,Pea Ridge,Alabama,Pea Ridge Alabama
57,Arley,Alabama,Arley Alabama
58,Gordonville,Alabama,Gordonville Alabama
59,Pelham,Alabama,Pelham Alabama
60,Ashford,Alabama,Ashford Alabama
61,Goshen,Alabama,Goshen Alabama
62,Pell City,Alabama,Pell City Alabama
63,Ashland,Alabama,Ashland Alabama
64,Graham,Alabama,Graham Alabama
65,Pennington,Alabama,Pennington Alabama
66,Ashville,Alabama,Ashville Alabama
67,Grand Bay,Alabama,Grand Bay Alabama
